gender,age,number_of_kids,day,online_hours
MALE,46,0,20,3.716666666666667
MALE,46,0,21,4.766666666666667
MALE,48,2,1,2.9166666666666665
MALE,48,2,2,5.683333333333334
MALE,48,2,5,0.8833333333333333
MALE,48,2,7,3.466666666666667
MALE,48,2,8,1.5166666666666666
MALE,48,2,9,0.9666666666666668
MALE,48,2,12,5.550000000000001
MALE,48,2,14,2.2
MALE,48,2,15,2.583333333333333
MALE,48,2,16,5.449999999999999
MALE,48,2,19,3.3
MALE,48,2,21,3.4833333333333334
MALE,32,2,1,5.116666666666666
MALE,32,2,2,5.833333333333334
MALE,32,2,3,8.066666666666666
MALE,32,2,4,6.4
MALE,32,2,5,8.733333333333334
MALE,32,2,6,8.383333333333333
MALE,32,2,7,6.666666666666667
MALE,32,2,8,8.066666666666666
MALE,32,2,9,8.416666666666668
MALE,32,2,10,6.766666666666667
MALE,32,2,11,8.266666666666666
MALE,32,2,12,7.683333333333333
MALE,32,2,13,8.05
MALE,32,2,14,8.666666666666666
MALE,32,2,15,9.483333333333334
MALE,32,2,16,8.183333333333334
MALE,32,2,17,8.016666666666666
MALE,32,2,18,8.95
MALE,32,2,19,9.816666666666666
MALE,32,2,20,9.983333333333334
MALE,32,2,21,7.233333333333333
MALE,69,4,1,2.8166666666666664
MALE,69,4,2,5.233333333333333
MALE,69,4,4,6.883333333333334
MALE,69,4,5,4.633333333333333
MALE,69,4,6,1.2000000000000002
MALE,69,4,7,1.15
MALE,69,4,9,5.416666666666667
MALE,69,4,11,7.066666666666666
MALE,69,4,12,3.6666666666666665
MALE,69,4,13,2.9
MALE,69,4,14,1.1333333333333333
MALE,69,4,16,5.7666666666666675
MALE,69,4,18,7.75
MALE,69,4,19,1.8333333333333333
MALE,69,4,20,3.533333333333333
MALE,69,4,21,3.5666666666666664
MALE,20,1,1,7.266666666666667
MALE,20,1,2,7.916666666666666
MALE,20,1,3,9.666666666666668
MALE,20,1,4,11.216666666666667
MALE,20,1,5,10.883333333333333
MALE,20,1,6,9.883333333333333
MALE,20,1,7,6.883333333333334
MALE,20,1,8,11.2
MALE,20,1,9,10.116666666666667
MALE,20,1,10,6.8
MALE,20,1,11,11.383333333333335
MALE,20,1,12,9.166666666666666
MALE,20,1,13,11.116666666666667
MALE,20,1,14,7.949999999999999
MALE,20,1,15,6.583333333333334
MALE,20,1,17,9.183333333333332
MALE,20,1,18,6.183333333333333
MALE,20,1,20,10.683333333333334
MALE,20,1,21,10.133333333333333
MALE,30,0,1,8.283333333333333
MALE,30,0,2,5.416666666666667
MALE,30,0,3,5.833333333333333
MALE,30,0,5,6.216666666666667
MALE,30,0,6,5.883333333333334
MALE,30,0,7,8.583333333333334
MALE,30,0,8,6.583333333333334
MALE,30,0,9,7.266666666666667
MALE,30,0,10,5.483333333333333
MALE,30,0,11,6.883333333333334
MALE,30,0,12,6.166666666666667
MALE,30,0,13,8.216666666666667
MALE,30,0,14,10.5
MALE,30,0,15,8.85
MALE,30,0,16,9.433333333333334
MALE,30,0,17,8.883333333333335
MALE,30,0,18,8.666666666666666
MALE,30,0,19,7.8
MALE,30,0,20,6.283333333333333
MALE,30,0,21,5.6499999999999995
MALE,42,3,1,6.5
MALE,42,3,2,7.95
MALE,42,3,3,6.883333333333334
MALE,42,3,4,7.216666666666667
MALE,42,3,5,5.716666666666667
MALE,42,3,6,9.9
MALE,42,3,7,8.233333333333333
MALE,42,3,8,8.916666666666666
MALE,42,3,9,10.299999999999999
MALE,42,3,10,7.183333333333333
MALE,42,3,11,10.766666666666666
MALE,42,3,12,8.966666666666667
MALE,42,3,13,10.016666666666667
MALE,42,3,14,8.5
MALE,42,3,15,8.583333333333334
MALE,42,3,16,7.483333333333333
MALE,42,3,17,10.05
MALE,42,3,18,7.916666666666666
MALE,42,3,19,10.266666666666667
MALE,42,3,20,9.716666666666667
MALE,42,3,21,9.616666666666667
MALE,21,0,1,10.283333333333333
MALE,21,0,2,10.216666666666667
MALE,21,0,3,8.966666666666667
MALE,21,0,4,7.05
MALE,21,0,5,10.1
MALE,21,0,6,9.766666666666666
MALE,21,0,7,9.95
MALE,21,0,8,10.1
MALE,21,0,9,6.5
MALE,21,0,11,6.5
MALE,21,0,13,9.799999999999999
MALE,21,0,14,8.383333333333333
MALE,21,0,15,6.85
MALE,21,0,17,6.25
MALE,21,0,18,9.85
MALE,21,0,19,10.733333333333334
MALE,21,0,20,7.1
MALE,21,0,21,6.083333333333333
MALE,18,4,1,7.216666666666667
MALE,18,4,2,7.266666666666667
MALE,18,4,6,7.316666666666666
MALE,18,4,7,10.433333333333334
MALE,18,4,8,9.733333333333334
MALE,18,4,9,9.433333333333334
MALE,18,4,13,8.566666666666666
MALE,18,4,14,7.8
MALE,18,4,15,7.9
MALE,18,4,16,9.3
MALE,18,4,20,10.466666666666667
MALE,18,4,21,6.499999999999999
MALE,30,0,1,8.133333333333335
MALE,30,0,2,7.4
MALE,30,0,5,7.583333333333333
MALE,30,0,6,7.9
MALE,30,0,7,8.816666666666666
MALE,30,0,8,7.699999999999999
MALE,30,0,9,5.3500000000000005
MALE,30,0,12,9.116666666666667
MALE,30,0,13,9.466666666666667
MALE,30,0,14,7.1
MALE,30,0,15,7.516666666666667
MALE,30,0,16,9.516666666666666
MALE,30,0,19,10.2
MALE,30,0,20,6.766666666666667
MALE,30,0,21,9.8
MALE,29,1,1,6.85
MALE,29,1,2,10.85
MALE,29,1,3,11.549999999999999
MALE,29,1,4,8.783333333333333
MALE,29,1,5,9.866666666666667
MALE,29,1,6,10.7
MALE,29,1,7,7.033333333333334
MALE,29,1,8,7.933333333333334
MALE,29,1,9,9.0
MALE,29,1,10,6.466666666666667
MALE,29,1,11,9.916666666666666
MALE,29,1,12,8.55
MALE,29,1,13,9.033333333333333
MALE,29,1,14,6.633333333333334
MALE,29,1,16,7.616666666666667
MALE,29,1,17,6.583333333333333
MALE,29,1,18,8.466666666666667
MALE,29,1,19,9.950000000000001
MALE,29,1,20,10.216666666666667
MALE,29,1,21,6.616666666666667
MALE,28,4,1,10.333333333333332
MALE,28,4,2,7.933333333333334
MALE,28,4,5,7.833333333333333
MALE,28,4,6,9.299999999999999
MALE,28,4,8,9.55
MALE,28,4,9,7.4
MALE,28,4,12,9.433333333333335
MALE,28,4,13,8.950000000000001
MALE,28,4,15,9.033333333333333
MALE,28,4,16,10.683333333333332
MALE,28,4,19,10.983333333333333
MALE,28,4,20,7.366666666666667
MALE,24,0,1,7.533333333333333
MALE,24,0,2,7.55
MALE,24,0,3,6.016666666666667
MALE,24,0,4,6.316666666666666
MALE,24,0,5,8.233333333333334
MALE,24,0,6,10.0
MALE,24,0,7,7.233333333333333
MALE,24,0,9,7.516666666666667
MALE,24,0,10,7.3500000000000005
MALE,24,0,11,6.55
MALE,24,0,12,9.833333333333332
MALE,24,0,13,7.966666666666667
MALE,24,0,14,9.249999999999998
MALE,24,0,15,7.333333333333334
MALE,24,0,16,10.15
MALE,24,0,17,9.750000000000002
MALE,24,0,18,5.783333333333333
MALE,24,0,19,8.466666666666667
MALE,24,0,20,6.55
MALE,24,0,21,10.216666666666665
MALE,31,0,1,8.15
MALE,31,0,2,6.916666666666666
MALE,31,0,3,5.983333333333333
MALE,31,0,4,6.483333333333333
MALE,31,0,5,8.933333333333334
MALE,31,0,6,7.066666666666666
MALE,31,0,7,7.65
MALE,31,0,8,9.35
MALE,31,0,9,9.383333333333333
MALE,31,0,10,4.699999999999999
MALE,31,0,11,8.033333333333333
MALE,31,0,12,4.6
MALE,31,0,13,6.166666666666667
MALE,31,0,14,9.566666666666666
MALE,31,0,15,8.866666666666667
MALE,31,0,16,8.75
MALE,31,0,17,8.8
MALE,31,0,18,7.5
MALE,31,0,19,7.083333333333334
MALE,31,0,20,6.35
MALE,31,0,21,8.316666666666666
FEMALE,25,0,1,1.1333333333333333
FEMALE,25,0,2,4.55
FEMALE,25,0,3,3.9000000000000004
FEMALE,25,0,4,2.5666666666666664
FEMALE,25,0,5,3.6833333333333336
FEMALE,25,0,6,3.7
FEMALE,25,0,7,4.05
FEMALE,25,0,8,4.183333333333333
FEMALE,25,0,9,2.5166666666666666
FEMALE,25,0,10,2.6666666666666665
FEMALE,25,0,11,2.716666666666667
FEMALE,25,0,12,2.2
FEMALE,25,0,13,3.5666666666666664
FEMALE,25,0,14,2.183333333333333
FEMALE,25,0,15,2.533333333333333
FEMALE,25,0,16,3.1333333333333337
FEMALE,25,0,17,2.416666666666667
FEMALE,25,0,18,3.3833333333333333
FEMALE,25,0,19,1.3666666666666667
FEMALE,25,0,20,1.9833333333333334
FEMALE,25,0,21,1.8833333333333333
FEMALE,41,3,2,4.633333333333333
FEMALE,41,3,5,5.316666666666666
FEMALE,41,3,6,1.6833333333333333
FEMALE,41,3,7,2.35
FEMALE,41,3,9,5.133333333333334
FEMALE,41,3,12,1.1333333333333333
FEMALE,41,3,13,4.883333333333334
FEMALE,41,3,14,3.783333333333333
FEMALE,41,3,15,2.7666666666666666
FEMALE,41,3,16,0.9833333333333334
FEMALE,41,3,19,4.933333333333334
FEMALE,41,3,20,0.6166666666666667
FEMALE,41,3,21,1.3
MALE,44,1,2,8.5
MALE,44,1,3,8.516666666666667
MALE,44,1,4,8.05
MALE,44,1,5,9.033333333333333
MALE,44,1,6,8.5
MALE,44,1,7,8.35
MALE,44,1,8,7.966666666666667
MALE,44,1,9,7.116666666666667
MALE,44,1,11,6.516666666666667
MALE,44,1,12,8.483333333333334
MALE,44,1,13,8.25
MALE,44,1,14,7.966666666666667
MALE,44,1,15,8.833333333333334
MALE,44,1,16,8.633333333333333
MALE,44,1,17,8.766666666666666
MALE,44,1,18,6.7666666666666675
MALE,44,1,19,7.633333333333333
MALE,44,1,20,6.3
MALE,44,1,21,7.566666666666666
MALE,25,4,2,9.600000000000001
MALE,25,4,3,8.033333333333333
MALE,25,4,4,11.299999999999999
MALE,25,4,5,8.883333333333333
MALE,25,4,6,9.4
MALE,25,4,7,11.216666666666665
MALE,25,4,8,8.983333333333333
MALE,25,4,9,11.366666666666667
MALE,25,4,10,8.116666666666667
MALE,25,4,11,10.700000000000001
MALE,25,4,12,9.95
MALE,25,4,13,7.983333333333333
MALE,25,4,14,7.133333333333333
MALE,25,4,15,6.933333333333334
MALE,25,4,16,8.816666666666666
MALE,25,4,17,11.683333333333334
MALE,25,4,18,7.916666666666667
MALE,25,4,19,7.3500000000000005
MALE,25,4,20,7.266666666666667
MALE,25,4,21,10.966666666666667
MALE,32,2,1,9.416666666666666
MALE,32,2,2,5.966666666666666
MALE,32,2,3,8.233333333333333
MALE,32,2,4,8.183333333333332
MALE,32,2,5,9.683333333333334
MALE,32,2,6,6.050000000000001
MALE,32,2,7,8.016666666666666
MALE,32,2,8,8.0
MALE,32,2,9,7.066666666666666
MALE,32,2,10,9.916666666666666
MALE,32,2,11,6.033333333333333
MALE,32,2,12,8.183333333333334
MALE,32,2,13,6.633333333333333
MALE,32,2,14,6.316666666666666
MALE,32,2,15,7.566666666666666
MALE,32,2,16,7.016666666666667
MALE,32,2,17,8.033333333333333
MALE,32,2,18,7.233333333333333
MALE,32,2,19,6.583333333333333
MALE,32,2,20,7.033333333333333
MALE,28,0,1,6.033333333333333
MALE,28,0,3,10.0
MALE,28,0,4,7.249999999999999
MALE,28,0,5,7.716666666666667
MALE,28,0,6,8.683333333333334
MALE,28,0,7,6.2666666666666675
MALE,28,0,8,7.999999999999999
MALE,28,0,9,7.916666666666667
MALE,28,0,10,9.5
MALE,28,0,11,9.633333333333335
MALE,28,0,12,7.7
MALE,28,0,13,9.566666666666666
MALE,28,0,14,10.3
MALE,28,0,15,7.816666666666666
MALE,28,0,16,8.766666666666667
MALE,28,0,17,8.866666666666665
MALE,28,0,18,9.9
MALE,28,0,19,8.933333333333334
MALE,28,0,20,9.666666666666668
MALE,28,0,21,9.25
MALE,23,0,1,7.683333333333333
MALE,23,0,5,8.0
MALE,23,0,6,6.183333333333334
MALE,23,0,7,8.366666666666667
MALE,23,0,8,6.9
MALE,23,0,12,8.683333333333334
MALE,23,0,13,10.549999999999999
MALE,23,0,15,9.133333333333333
MALE,23,0,19,7.6000000000000005
MALE,23,0,20,7.433333333333334
MALE,23,0,21,7.366666666666666
MALE,46,2,1,8.05
MALE,46,2,2,9.066666666666666
MALE,46,2,3,9.316666666666666
MALE,46,2,4,0.08333333333333333
MALE,46,2,5,6.45
MALE,46,2,6,6.0166666666666675
MALE,46,2,7,7.066666666666666
MALE,46,2,8,7.066666666666667
MALE,46,2,9,6.533333333333333
MALE,46,2,10,8.383333333333333
MALE,46,2,11,1.8
MALE,46,2,12,8.233333333333334
MALE,46,2,13,8.85
MALE,46,2,14,7.500000000000001
MALE,46,2,15,8.95
MALE,46,2,16,8.583333333333334
MALE,46,2,17,8.25
MALE,46,2,19,5.816666666666666
MALE,46,2,20,8.5
MALE,46,2,21,7.983333333333333
MALE,42,2,1,6.45
MALE,42,2,2,8.183333333333334
MALE,42,2,5,8.166666666666666
MALE,42,2,6,7.583333333333334
MALE,42,2,7,6.016666666666667
MALE,42,2,8,8.316666666666666
MALE,42,2,9,10.733333333333333
MALE,42,2,12,7.033333333333333
MALE,42,2,13,9.383333333333333
MALE,42,2,14,9.1
MALE,42,2,15,6.366666666666666
MALE,42,2,16,9.233333333333334
MALE,42,2,19,8.716666666666667
MALE,42,2,20,8.649999999999999
MALE,42,2,21,6.016666666666667
FEMALE,23,0,1,4.083333333333333
FEMALE,23,0,2,2.666666666666667
FEMALE,23,0,3,4.216666666666667
FEMALE,23,0,4,0.5833333333333334
FEMALE,23,0,5,0.75
FEMALE,23,0,6,0.3833333333333333
FEMALE,23,0,7,3.683333333333333
FEMALE,23,0,8,4.75
FEMALE,23,0,9,2.666666666666667
FEMALE,23,0,10,4.05
FEMALE,23,0,11,4.616666666666666
FEMALE,23,0,13,1.0333333333333332
FEMALE,23,0,14,4.05
FEMALE,23,0,15,4.616666666666667
FEMALE,23,0,16,3.416666666666667
FEMALE,23,0,17,2.9333333333333336
FEMALE,23,0,18,3.8833333333333333
FEMALE,23,0,19,2.1166666666666667
FEMALE,23,0,20,2.5166666666666666
FEMALE,23,0,21,3.05
MALE,31,2,1,3.083333333333333
MALE,31,2,2,1.7333333333333334
MALE,31,2,3,7.916666666666666
MALE,31,2,5,4.0
MALE,31,2,6,2.983333333333333
MALE,31,2,8,3.7333333333333334
MALE,31,2,9,3.5166666666666666
MALE,31,2,10,6.216666666666666
MALE,31,2,12,3.966666666666667
MALE,31,2,13,3.766666666666667
MALE,31,2,14,4.916666666666666
MALE,31,2,15,5.366666666666667
MALE,31,2,16,3.6666666666666665
MALE,31,2,17,7.083333333333333
MALE,31,2,19,3.2
MALE,31,2,20,4.883333333333333
MALE,31,2,21,3.55
MALE,20,4,1,9.816666666666668
MALE,20,4,2,9.583333333333334
MALE,20,4,4,8.2
MALE,20,4,5,7.0
MALE,20,4,6,11.266666666666667
MALE,20,4,7,10.033333333333333
MALE,20,4,9,10.35
MALE,20,4,11,7.65
MALE,20,4,12,9.583333333333334
MALE,20,4,13,11.366666666666667
MALE,20,4,14,11.283333333333333
MALE,20,4,15,9.816666666666666
MALE,20,4,16,11.616666666666665
MALE,20,4,18,6.833333333333334
MALE,20,4,19,10.616666666666667
MALE,20,4,20,9.95
MALE,20,4,21,8.833333333333334
MALE,65,1,1,4.25
MALE,65,1,2,5.533333333333333
MALE,65,1,5,5.316666666666667
MALE,65,1,6,6.483333333333333
MALE,65,1,7,7.85
MALE,65,1,8,4.45
MALE,65,1,9,6.366666666666666
MALE,65,1,12,5.616666666666667
MALE,65,1,13,3.8166666666666664
MALE,65,1,14,4.083333333333334
MALE,65,1,15,8.15
MALE,65,1,16,3.1833333333333336
MALE,65,1,19,6.683333333333334
MALE,65,1,20,7.7666666666666675
MALE,65,1,21,7.3999999999999995
MALE,21,4,1,6.2666666666666675
MALE,21,4,2,5.033333333333333
MALE,21,4,3,8.333333333333334
MALE,21,4,4,9.166666666666668
MALE,21,4,5,5.199999999999999
MALE,21,4,6,5.666666666666666
MALE,21,4,7,5.533333333333333
MALE,21,4,8,2.0166666666666666
MALE,21,4,9,3.6333333333333333
MALE,21,4,10,6.166666666666667
MALE,21,4,12,5.133333333333334
MALE,21,4,13,3.0833333333333335
MALE,21,4,14,3.666666666666667
MALE,21,4,15,4.083333333333334
MALE,21,4,16,3.8
MALE,21,4,17,8.266666666666666
MALE,21,4,19,1.9166666666666667
MALE,21,4,20,2.3
MALE,21,4,21,3.5666666666666664
MALE,19,1,1,6.25
MALE,19,1,2,2.783333333333333
MALE,19,1,4,7.716666666666667
MALE,19,1,5,2.5666666666666664
MALE,19,1,6,4.683333333333333
MALE,19,1,7,3.0166666666666666
MALE,19,1,8,2.25
MALE,19,1,9,3.6166666666666667
MALE,19,1,10,9.616666666666667
MALE,19,1,11,8.316666666666666
MALE,19,1,12,5.116666666666667
MALE,19,1,13,4.8
MALE,19,1,14,5.066666666666666
MALE,19,1,15,3.8666666666666667
MALE,19,1,16,5.65
MALE,19,1,17,11.666666666666668
MALE,19,1,18,11.233333333333333
MALE,19,1,19,1.6500000000000001
MALE,19,1,20,3.466666666666667
MALE,19,1,21,5.683333333333334
MALE,51,0,1,6.316666666666666
MALE,51,0,2,6.583333333333334
MALE,51,0,3,4.3
MALE,51,0,4,6.016666666666666
MALE,51,0,5,8.416666666666666
MALE,51,0,6,7.016666666666667
MALE,51,0,7,8.5
MALE,51,0,8,6.516666666666667
MALE,51,0,9,6.266666666666667
MALE,51,0,10,7.016666666666667
MALE,51,0,12,7.516666666666667
MALE,51,0,13,7.45
MALE,51,0,14,7.016666666666667
MALE,51,0,15,7.233333333333334
MALE,51,0,16,4.316666666666666
MALE,51,0,17,6.35
MALE,51,0,18,4.733333333333333
MALE,51,0,19,7.916666666666667
MALE,51,0,20,8.166666666666666
MALE,51,0,21,8.133333333333335
MALE,18,0,1,4.916666666666667
MALE,18,0,2,5.1000000000000005
MALE,18,0,3,10.333333333333334
MALE,18,0,4,9.083333333333332
MALE,18,0,5,1.6833333333333333
MALE,18,0,6,4.75
MALE,18,0,7,5.05
MALE,18,0,8,5.733333333333333
MALE,18,0,9,4.716666666666667
MALE,18,0,10,6.35
MALE,18,0,11,6.3
MALE,18,0,12,0.6000000000000001
MALE,18,0,13,4.733333333333333
MALE,18,0,14,1.7000000000000002
MALE,18,0,15,3.8
MALE,18,0,16,3.7333333333333334
MALE,18,0,17,8.200000000000001
MALE,18,0,18,9.266666666666666
MALE,18,0,19,4.066666666666666
MALE,18,0,20,2.1666666666666665
MALE,22,0,1,3.8333333333333335
MALE,22,0,2,2.3833333333333333
MALE,22,0,3,8.983333333333334
MALE,22,0,4,9.6
